PROGRAM,SITE,YEAR,ANC,DOC,NO3,SBC_ALL,SBC-0,SO4
VTSSS,VT64,1992,66.753,0,0.803,94.89,0,8.135
VTSSS,VT64,1998,64.778,0,0.803,92.783,0,8.23
VTSSS,VT43,1995,58.925,0,0.698,91.945,0,8.73
VTSSS,VT43,1990,63.24,0,0.885,91.618,0,8.733
VTSSS,VT43,1992,66.043,0,0.825,93.873,0,8.758
VTSSS,VT43,2004,66.298,0,0.688,95.358,0,8.813
VTSSS,VT43,2000,57.633,0,0.667,93.05,0,8.947
VTSSS,VT43,2003,64.203,0,0.688,94.82,0,9.03
VTSSS,VT64,2005,58.873,0,0.533,91.163,0,9.178
VTSSS,VT64,1996,66.348,0,0.703,99.253,0,9.273
ALTM,030172E,2016,53.6,7.15,0.53,93.01,97.84,9.34
VTSSS,VT64,2014,61.255,0,0.15,96.795,0,9.345
VTSSS,VT64,2001,74.428,0,0.705,108.345,0,9.358
VTSSS,VT64,2013,65.22,0,0,95.435,0,9.395
VTSSS,VT64,2015,65.825,0,0.775,98.998,0,9.413
VTSSS,VT64,2004,66.96,0,0.69,101.327,0,9.51
VTSSS,VT43,1999,60.338,0,0.69,97.648,0,9.685
VTSSS,VT64,2000,70.597,0,0.743,96.897,0,9.853
VTSSS,VT64,2012,70.275,0,0.213,103.265,0,9.993
VTSSS,VT64,1993,69.88,0,1.328,101.243,0,10.033
VTSSS,VT43,2005,51.743,0,0.533,91.478,0,10.075
VTSSS,VT64,2011,63.99,0,0.123,96.005,0,10.19
VTSSS,VT67,2000,51.037,0,0.72,82.743,0,10.24
ALTM,030172E,2015,58.7,7.21,0.46,91.2,95.59,10.26
ALTM,030172E,2014,67.29,7.17,0.2,96.18,100.07,10.3
VTSSS,VT67,1998,51.22,0,0.96,80.73,0,10.45
VTSSS,VT43,2013,62.72,0,0,93.885,0,10.458
VTSSS,VT43,2015,65.405,0,0.335,99.548,0,10.46
VTSSS,VT43,2001,69.605,0,0.748,104.45,0,10.51
VTSSS,VT43,1998,63.443,0,0.633,97.593,0,10.573
VTSSS,VT43,2014,63.133,0,0.105,100.285,0,10.615
VTSSS,VT64,1995,62.633,0,0.918,96.95,0,10.665
VTSSS,VT64,1990,62.56,0,1.03,92.27,0,10.73
VTSSS,VT43,2016,71.145,0,0.178,99.488,0,10.838
VTSSS,VT64,2016,68.603,0,0.065,97.435,0,10.913
VTSSS,VT64,2009,71.643,0,0,104.833,0,10.98
VTSSS,VT64,1994,65.865,0,0.768,102.288,0,11.025
VTSSS,VT43,2017,64.1775,0,0.02,96.3675,0,11.1675
VTSSS,VT43,1991,68.898,0,0.808,101.803,0,11.325
VTSSS,VT64,2017,68.7925,0,0.0125,100.0575,0,11.3275
VTSSS,VT67,1993,44.883,0,0.885,78.333,0,11.33
VTSSS,VT43,2009,70.22,0,0,105.005,0,11.503
VTSSS,VT43,2012,72.493,0,0.235,104.33,0,11.538
ALTM,030172E,2017,-11.75,9.4591,0,38.4839787,34.0673367,11.63284137
VTSSS,VT67,2010,54.64,0,0.403,90.303,0,11.74
VTSSS,VT64,2010,67.835,0,0.058,102.283,0,11.908
VTSSS,VT43,2006,59.98,0,0.303,97.413,0,11.93
VTSSS,VT43,1994,62.633,0,0.763,96.785,0,11.96
VTSSS,VT67,1991,47.535,0,0.783,80.033,0,12.1
VTSSS,VT43,2011,64.305,0,0.328,99.99,0,12.27
VTSSS,VT64,2006,63.215,0,0.158,96.68,0,12.388
VTSSS,VT43,1996,60.843,0,1.543,94.945,0,12.575
ALTM,030172E,2013,66.22,7.18,0.67,105.36,109.67,12.63
VTSSS,VT43,1993,65.26,0,0.735,102.5,0,12.695
VTSSS,VT64,1991,68.393,0,0.775,103.035,0,12.733
VTSSS,VT67,1995,44.33,0,0.705,78.43,0,13.053
ALTM,030172E,2012,64.77,6.84,0.41,110.59,114.53,13.32
VTSSS,VT64,2003,61.398,0,0.693,102.168,0,13.403
VTSSS,VT67,1992,41.653,0,0.8,79.34,0,13.568
VTSSS,VT43,2007,63.888,0,0.538,101.773,0,13.618
VTSSS,VT43,2010,59.185,0,0,100.063,0,13.735
MELTM,ME-4778E,2017,0.506666667,2.623333333,0.243333333,54.45666667,31.11333333,13.84333333
VTSSS,VT67,1997,50.213,0,0.635,85.85,0,13.863
VTSSS,VT43,1997,65.69,0,0.643,106.695,0,13.985
VTSSS,VT64,2007,66.15,0,0,109.468,0,14.345
VTSSS,VT67,2005,42.528,0,0.525,77.66,0,14.37
VTSSS,VT43,2008,64.32,0,0.223,104.213,0,14.398
VTSSS,VT42,2011,84.515,0,1.248,136.16,0,14.603
VTSSS,VT67,2001,51.148,0,0.75,89.053,0,14.635
VTSSS,VT67,1990,42.94,0,0.848,76.938,0,14.643
MELTM,1E1-060E,2013,118.886,6.267,0,226.536,164.534,14.681
VTSSS,VT42,1990,75.185,0,5.76,124.965,0,14.723
VTSSS,VT64,1999,54.505,0,3.773,104.643,0,14.833
VTSSS,VT67,1994,42.735,0,0.753,78.11,0,14.903
VTSSS,VT64,1997,64.175,0,0.63,102.683,0,14.933
ALTM,020138O,2017,-12.2144,11.03796,0.061575834,44.50068824,38.59126544,14.96701968
VTSSS,VT43,2002,66.8,0,0.815,111.625,0,14.985
ALTM,030172E,2011,80.18,6.99,0.11,115.45,119.3,15.21
VTSSS,VT67,2011,45.01,0,0.125,86.243,0,15.235
MELTM,ME-4474E,2017,-21.24,6.843333333,0.276666667,64.05666667,29.54666667,15.68333333
VTSSS,VT67,2004,48.118,0,0.68,86.26,0,15.7
MELTM,ME-4474E,2015,-22.557,6.467,0,76.093,50.933,15.8
VTSSS,VT67,2008,43.348,0,0.683,84.213,0,15.96
MELTM,ME-4474E,2014,-21.633,6.9,0.09,64.133,34.9,16
VTSSS,VT42,1998,91,0,7.167,137.95,0,16.18
VTSSS,VT67,2009,44.4,0,0,83.64,0,16.275
ALTM,1A1-107E,2015,-32.3,16.86,0.7,49.29,61.62,16.72
VTSSS,VT42,1993,86.725,0,10.065,132.298,0,16.79
VTSSS,VT65,1998,60.765,0,4.223,98.045,0,16.873
VTSSS,VT64,2002,71.675,0,0.78,114.6,0,16.895
MELTM,ME-4778E,2015,-0.977,2.567,0.067,48.073,28.913,16.923
MELTM,1E1-060E,2009,113.7933333,5.692098053,0.042743363,217.1099933,164.0124433,16.98256213
MELTM,ME-4778E,2016,-2.16,2.53,0.373,48.937,26.92,17.067
VTSSS,VT64,2008,60.415,0,0.218,102.478,0,17.093
MELTM,ME-4778E,2014,-0.5,2.7,0.667,52.7,30.767,17.133
MELTM,1E1-060E,2014,107.633,6.033,0.093,214.567,160.567,17.2
MELTM,1E1-060E,2012,114.02,6.646,0.028,216.191,155.774,17.242
MELTM,ME-4474E,2016,-24.407,6.437,0.26,63.33,31.067,17.287
ALTM,020138O,2013,-13.8,10.75,0.7,42.1,47.89,17.32
VTSSS,VT42,2006,87.833,0,0,142.13,0,17.495
MELTM,1E1-060E,2006,105.6,6.6,0.2,203.05,146.55,17.5
VTSSS,VT67,1996,40.265,0,0.623,85.295,0,17.568
VTSSS,VT42,1991,86.22,0,6.88,130.64,0,17.618
ALTM,020138O,2015,-11.44,10.66,1.56,38.69,44.94,17.68
VTSSS,VT42,1992,75.688,0,8.858,129.85,0,17.895
VTSSS,VT42,2012,95.273,0,0.913,141.265,0,17.953
MELTM,1E1-060E,2005,107,7.9,0.6,221.8,159.8,18
MELTM,ME-4474E,2013,-24.119,7.542,0,67.392,33.652,18.036
VTSSS,VT65,1992,70.285,0,8.76,116.503,0,18.085
VTSSS,VT67,1999,49.183,0,1.053,92.033,0,18.097
MELTM,ME-4474E,2012,-21.273,7.773,0.188,62.756,31.919,18.163
MELTM,ME-4778E,2012,0.08,3.029,0.024,51.921,27.422,18.206
ALTM,1A1-107E,2017,-34.028,15.26197333,0.044647554,51.91409613,39.81330383,18.2260236
ALTM,020138O,2016,-15.03,10.9,0.67,40.02,46.78,18.23
ALTM,020138O,2014,-8.46,10.18,1.1,40.87,46.75,18.3
VTSSS,VT42,2009,88.535,0,1.235,136.368,0,18.3
VTSSS,VT42,2017,84.72,0,6.6025,137.89,0,18.3375
VTSSS,VT42,1996,83.893,0,8.76,133.017,0,18.383
MELTM,ME-4474E,2011,-21.573,7.538,0.081,62.803,32.486,18.384
VTSSS,VT42,2001,96.623,0,5.275,143.67,0,18.47
ALTM,030172E,2010,83.92,6.28,0.38,120.62,124.58,18.5
VTSSS,VT63,1990,103.565,0,1.04,141.083,0,18.515
VTLTM,1C1-100E,2016,24.8,6.963,1.428,85.972,72.429,18.53
VTSSS,VT01,1998,120.153,0,29.637,187.01,0,18.617
MELTM,ME-4778E,2013,-2.109,2.88,0.066,54.55,29.164,18.627
VTSSS,VT42,2016,90.248,0,5.228,136.268,0,18.78
ALTM,1A1-107E,2014,-30.75,15.97,0.15,47.67,59.64,18.85
VTSSS,VT42,1995,79.528,0,7.68,129.473,0,18.855
VTSSS,VT42,2007,85.44,0,3.485,143.003,0,18.963
VTSSS,VT42,2004,87.093,0,5.18,137.66,0,19.017
ALTM,020138O,2012,-15.64,10.51,0.76,43.28,48.89,19.17
VTSSS,VT67,2006,48.22,0,0,88.153,0,19.175
VTSSS,VT67,2002,47.083,0,0.763,91.753,0,19.32
MELTM,ME-4474E,2010,-22.087,6.778,0.332,57.25,28.412,19.371
MELTM,ME-4474E,2009,-24.97666667,7.365477694,0,55.99947333,27.14012333,19.4287808
VTSSS,VT63,1992,96.42,0,1.538,139.843,0,19.445
MELTM,1E2-060E,2017,167.1666667,8.95,0.453333333,266.87,235.63,19.45666667
VTSSS,VT42,2005,76.348,0,6.37,129.938,0,19.468
VTSSS,VT42,2014,88.65,0,5.425,142.538,0,19.533
VTSSS,VT63,1991,107.275,0,1.913,152.905,0,19.825
ALTM,1A1-107E,2016,-31.27,15.69,0.36,49.7,62.56,19.95
VTSSS,VT65,1996,71.9,0,5.948,118.548,0,19.97
MELTM,ME-4474E,2007,-26.4,6.433333333,0.1,53,25,20
VTSSS,VT42,2015,87.758,0,7.803,140.223,0,20.075
VTSSS,VT65,2014,68.23,0,1.49,116.87,0,20.173
VTSSS,VT65,2006,71.448,0,0,116.553,0,20.188
VTSSS,VT65,2013,67.218,0,0.145,111.315,0,20.3
VTSSS,VT65,2000,73.365,0,3.328,117.665,0,20.303
VTSSS,VT65,1990,70.868,0,6.623,116.813,0,20.375
VTSSS,VT65,1991,70.413,0,5.795,119.77,0,20.408
VTSSS,VT65,2001,83.518,0,1.663,126.348,0,20.493
MELTM,ME-4778E,2011,0.54,2.801,0.411,53.118,28.365,20.575
VTSSS,VT65,1995,65.97,0,4.52,114.825,0,20.583
MELTM,1E1-060E,2010,112.69,5.049,0,198.277,141.111,20.666
VTSSS,VT65,2004,77.937,0,0.69,120.457,0,20.667
VTSSS,VT65,2015,70.515,0,2.385,118.378,0,20.74
VTSSS,VT65,2005,68.848,0,0.533,110.803,0,20.838
MELTM,ME-4474E,2008,-28.8,6.7625,0.0425,53.8,24.775,20.925
VTSSS,VT42,1997,82.555,0,10.493,137.128,0,20.928
VTSSS,VT15,1992,24.733,0,1.645,64.88,0,21.033
ALTM,1A1-107E,2013,-35.96,16.47,1.75,54.48,66.45,21.04
